k,silhouette,inertia,cluster_sizes,max_tester_share_per_cluster,mean_max_tester_share
2,0.5041248850065558,3470.540250737942,"[650, 226]","[0.3862, 0.9558]",0.6709530292716134
3,0.41684441167579195,2641.4528267468486,"[231, 225, 420]","[0.9697, 0.96, 0.5881]",0.8392640692640693
4,0.4308877246046043,2193.0733233250307,"[417, 9, 220, 230]","[0.5923, 1.0, 0.95, 0.9739]",0.8790597956417475
5,0.4490917694054512,1754.9947529955032,"[9, 404, 232, 218, 13]","[1.0, 0.6089, 0.9655, 0.9541, 1.0]",0.9057113145670783
