algorithm,cluster_id,n_windows,silence_ratio_mean,silence_ratio_std,narration_density_mean,narration_density_std,words_per_minute_mean,words_per_minute_std,avg_silence_duration_mean,avg_silence_duration_std,avg_confidence_mean,avg_confidence_std,unique_words_ratio_mean,unique_words_ratio_std,avg_sentence_length_mean,avg_sentence_length_std
kmeans,0,231,0.06807316017316019,0.06993359601116095,0.9319268398268399,0.06993359601116095,238.15441558441557,47.90951617173747,0.17506753246753246,0.11954852202775036,0.9195943722943722,0.046252322402624155,0.5487183820905188,0.0727431842642951,10.02789254112916,2.9672642684986554
kmeans,1,225,0.6369026666666666,0.17462404745178842,0.3630973333333333,0.17462404745178842,61.669866666666664,28.938922247919166,3.913962222222222,5.580115047037367,0.7920831111111112,0.09913824815931922,0.8317715880999779,0.07585416551142088,6.114513153131316,1.712223230763679
kmeans,2,420,0.01895047619047619,0.06278544056859253,0.9810495238095238,0.06278544056859295,84.10809523809525,38.670626193293096,0.11465738095238094,0.27648203027424584,0.9529585714285715,0.03997185733627555,0.7223899296355153,0.0948335701937138,14.02084230218076,13.83693129324688
dbscan,-1,65,0.45815846153846157,0.3946968955432501,0.5418415384615385,0.3946968955432501,70.48061538461539,67.24065978894073,6.116464615384615,9.917805641222035,0.7814292307692308,0.1668958051029047,0.7763904217239468,0.17850203108908455,18.737359644809228,30.34644468141383
dbscan,0,613,0.028639151712887435,0.05388589419092096,0.9713608482871124,0.053885894190920956,139.9136867862969,86.26599645657488,0.11497063621533443,0.16427156727930087,0.9433158238172921,0.03936073714869967,0.6610317399952809,0.12038706437000286,11.520033296437191,6.276584967605355
dbscan,1,198,0.6042984848484848,0.1381691857347115,0.39570151515151514,0.1381691857347115,70.03262626262625,25.189467399097964,2.5312676767676767,1.3893191736706674,0.8173843434343434,0.0741271389888341,0.8163055050664528,0.06172832546377902,6.571987958296478,1.7123118304325837
