feature,between_var,within_var,specificity_ratio,median_abs_dev_of_tester_means,max_tester_mean_gap,unstable
narration_density,0.6673027724519418,0.06872089766887224,9.71033245166514,0.12222347156857416,2.2729407785502893,False
silence_ratio,0.6673027724519417,0.06872089766887224,9.710332451665138,0.12222347156857427,2.2729407785502893,False
words_per_minute,0.5649485061193876,0.18777813502113114,3.008595772064819,0.2511838223502646,2.245942262161061,False
unique_words_ratio,0.4288577906739545,0.41979642920194354,1.0215851298870073,0.38735558517347446,2.0156695815519745,False
avg_confidence,0.5463605293761495,0.7468355462023611,0.7315673864518245,0.22043263975465086,1.749336785191919,False
avg_sentence_length,0.422432828763096,0.930795700689643,0.4538405452413108,0.12347456397238339,1.9438434566089569,False
avg_silence_duration,0.18417961681504932,0.48566866093874445,0.379228950206137,0.03476999860130406,1.1888743159327861,False
