window_id,video_id,video_filename,tester_name,project,start_time,end_time,silence_ratio,narration_density,words_per_minute,avg_silence_duration,avg_confidence,unique_words_ratio,avg_sentence_length
ghum_wa_w000,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2.64,70.489,-0.6262819867660981,0.6262819867660984,0.13457929851290473,-0.26897800859260945,0.5972674871178499,0.5802241758211971,0.9791359016635163
ghum_wa_w001,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,71.51,139.649,-0.6728759739841195,0.6728759739841197,0.42892797045135106,-0.3372561084749612,0.9521542164163347,-0.4835186562908381,1.3683449279234952
ghum_wa_w002,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,141.25,219.509,-0.5948663438690989,0.5948663438690991,0.39156974000209155,-0.2845844314228613,0.07537523814948893,-0.18301396477611998,0.0007076550932915295
ghum_wa_w003,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,220.44,295.91,-0.6382834683222551,0.6382834683222552,0.6634546393828136,-0.3052202678605185,0.24238075781936524,-0.5699231537050993,-0.2483694888487249
ghum_wa_w004,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,296.88,365.649,-0.6548737516498839,0.6548737516498842,1.3383445018779327,-0.31043256923546586,0.3170937534611506,-1.0164458502661358,-0.15374037120035086
ghum_wa_w005,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,366.029,444.899,-0.5323880428267521,0.5323880428267526,1.501084767201014,-0.2917475356515902,0.39400419015122473,-1.3654362588294107,-0.20470821987725288
ghum_wa_w006,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,445.13,512.039,-0.4106083035069237,0.41060830350692373,1.218822581584387,-0.25818763030763064,0.5950700460695612,-1.2236339947979016,-0.1145414621270245
ghum_wa_w007,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,512.869,576.82,-0.6305178037859183,0.6305178037859184,1.9952877634709565,-0.29824005139933163,0.7829512556981707,-0.7229069115853829,-0.0542811680612554
ghum_wa_w008,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,577.9,638.52,-0.4377881293841028,0.437788129384103,1.0247062861127445,-0.2725748013542691,0.7598781246911486,-0.08973091197776034,0.04395310245551143
ghum_wa_w009,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,640.14,710.94,-0.6171043832231545,0.6171043832231546,2.4377264142817947,-0.2803475314748046,0.7368049936841264,-1.132384041128227,0.3992144525361476
